# WASP-39b JWST PRISM transmission spectrum (Eureka!, Fit_LimbDarkening, ~R100)
# Carter et al. 2024, Nature Astronomy; Zenodo 10.5281/zenodo.10161743
# depth=(rp/rs)^2; err=2*(rp/rs)*sigma_rprs (asym errors averaged)
# columns: wavelength_um  transit_depth_ppm  err_ppm  wavelength_low_um  wavelength_high_um
4.890409 21270.667 194.824 4.878383 4.902435
4.914397 21233.195 177.016 4.902435 4.926359
4.938257 21705.273 185.658 4.926359 4.950155
4.961991 21960.793 186.708 4.950155 4.973826
4.985600 21198.600 201.443 4.973826 4.997374
5.009087 21399.693 185.472 4.997374 5.020800
5.032453 21151.576 207.777 5.020800 5.044106
5.055700 21501.571 188.180 5.044106 5.067294
5.078830 21660.659 209.486 5.067294 5.090365
5.101843 21111.669 212.311 5.090365 5.113321
5.124742 21597.661 212.037 5.113321 5.136163
5.147528 21646.097 221.212 5.136163 5.158893
5.170202 21259.118 220.910 5.158893 5.181512
5.192767 21114.514 222.000 5.181512 5.204021
5.215222 21572.262 231.264 5.204021 5.226423
5.237571 21686.915 228.308 5.226423 5.248718
5.259813 21346.569 230.998 5.248718 5.270908
5.281951 21422.635 229.896 5.270908 5.292994
5.303985 21089.966 242.632 5.292994 5.314977
5.325918 21245.101 248.615 5.314977 5.336859
5.344125 21501.369 345.577 5.336859 5.351391
