,wave,wave_low,wave_hig,rp/rs,rp/rs_err_low,rp/rs_err_hih
0,2.7388248563485935,2.724906328307929,2.752743384389258,0.1488806553180584,0.0012582088213971,0.0011871380018562
1,2.7666891889670078,2.752743384389258,2.780634993544757,0.1483068733931544,0.0004756880740048,0.0004730707017274
2,2.7948885262459235,2.780634993544757,2.8091420589470895,0.1485010136937659,0.0003328205641869,0.0003417711569
3,2.8233931006285617,2.8091420589470895,2.837644142310034,0.1481735487239601,0.0002825045876677,0.0002777378737857
4,2.8522613510172783,2.837644142310034,2.8668785597245225,0.1481546183181735,0.0002342369076416,0.0002287203962764
5,2.881463391374334,2.8668785597245225,2.8960482230241453,0.1478375026130525,0.0003185112948766,0.0003147063494964
6,2.9109988056189544,2.8960482230241453,2.9259493882137635,0.1477106004267061,0.000235137768489,0.0002287642575896
7,2.940867100467587,2.9259493882137635,2.9557848127214106,0.1473177125550939,0.0002404434548144,0.0002364058321409
8,2.971067827279841,2.9557848127214106,2.986350841838272,0.1470669448463344,0.0002099255482466,0.0002058155312882
9,3.0016004750421903,2.986350841838272,3.0168501082461083,0.1466010577604563,0.0002629207927814,0.0002624678353874
10,3.0320959453581926,3.0168501082461083,3.0473417824702773,0.1464280349719163,0.0002119367293805,0.0002044438634201
11,3.06295228196974,3.0473417824702773,3.078562781469203,0.1462078461601443,0.0003567010208362,0.0003575220426838
12,3.0941391947699826,3.078562781469203,3.109715608070762,0.1462383121722812,0.0002205592167448,0.0002184365769949
13,3.1256561662625963,3.109715608070762,3.1415967244544305,0.1458739835986799,0.0001998257017471,0.0001953612295363
14,3.1575026543297797,3.1415967244544305,3.1734085842051285,0.1459353219743568,0.0002912253756738,0.0002968421614356
15,3.1896479940894062,3.1734085842051285,3.2058874039736835,0.1456630454602687,0.0002588237791543,0.0002577332952197
16,3.2221367745341696,3.2058874039736835,3.2383861450946556,0.1457846406838446,0.0002459893961099,0.0002468981000846
17,3.2549683676015824,3.2383861450946556,3.271550590108509,0.1459457365054421,0.0001878506276288,0.0001899124919696
18,3.288112128781294,3.271550590108509,3.304673667454079,0.1457775483116872,0.0002350949754587,0.0002216595939751
19,3.32156729343032,3.304673667454079,3.338460919406561,0.1455971849830263,0.0003093556540521,0.0003101015860794
20,3.3553788268201967,3.338460919406561,3.3722967342338324,0.1456196454432976,0.0002003919298287,0.0002003966626028
21,3.3895156632134253,3.3722967342338324,3.4067345921930183,0.1454870566788905,0.0002023693120098,0.0002018270641943
22,3.42394691781469,3.4067345921930183,3.4411592434363616,0.1455935014206809,0.00022483526945,0.000206901723379
23,3.4587021332571664,3.4411592434363616,3.476245023077971,0.1453952632862225,0.0002011868987472,0.000205308407665
24,3.4941179356935224,3.476245023077971,3.5119908483090736,0.1453789461580563,0.0002044091813217,0.0002001878782853
25,3.5298562126317488,3.5119908483090736,3.547721576954424,0.1455582559578903,0.0002005780534766,0.000192774618863
26,3.5659468082232646,3.547721576954424,3.5841720394921053,0.1454088874812275,0.0002089570265494,0.0002092642262632
27,3.602358516424358,3.5841720394921053,3.620544993356611,0.1456399335443645,0.0002150470252997,0.0002172205422253
28,3.639059765706444,3.620544993356611,3.657574538056277,0.1448182659727181,0.000212861897927,0.0002112891799627
29,3.68650738876667,3.657574538056277,3.7154402394770627,0.145144368712464,0.0001799295260929,0.0001803040899195
