,wave,wave_low,wave_hig,rp/rs,rp/rs_err_low,rp/rs_err_hih,u1,u1_err_low,u1_err_hih
0,3.8486445410940338,3.829173941825524,3.8681151403625433,0.1448015307493354,0.0002550655034521,0.0002535488094096,1.007109474374987,8.105399244984213e-05,7.116729585399106e-05
1,3.8879105618720047,3.8681151403625433,3.907705983381466,0.145251785838204,0.0002275289434397,0.0002330968389967,1.0070864041088,6.124793157380459e-05,6.381535013821882e-05
2,3.927459046710887,3.907705983381466,3.947212110040308,0.1445950610384846,0.0002481014789866,0.0002547921194284,1.0070244467406195,6.75605115634248e-05,6.805484758309888e-05
3,3.967320033379279,3.947212110040308,3.98742795671825,0.1452440704417777,0.0002329856419488,0.0002318350511317,1.0071443433734684,6.540275971689269e-05,6.453607584178123e-05
4,4.007858803473354,3.98742795671825,4.028289650228458,0.1458657660326854,0.0002361683477893,0.0002391502973787,1.007278115308488,6.580274957990184e-05,6.416712789003576e-05
5,4.04870798332559,4.028289650228458,4.069126316422722,0.1456321290748694,0.0002542264104661,0.0002486416122768,1.0069756903214278,6.986568791655934e-05,7.494792830864405e-05
6,4.0898663377751685,4.069126316422722,4.110606359127615,0.1462280517867682,0.0002491935069038,0.0002409150571933,1.0071896114742414,6.979621140046355e-05,6.784731345144124e-05
7,4.13163569633828,4.110606359127615,4.152665033548944,0.1454709118580049,0.000263554766846,0.0002607440725627,1.007111900505439,7.156597610857851e-05,6.965454687501982e-05
8,4.173711774484492,4.152665033548944,4.194758515420038,0.1452987356622947,0.0002648670902584,0.0002643119608273,1.0071435602302343,7.149071154444187e-05,7.382306510606007e-05
9,4.21612469692505,4.194758515420038,4.2374908784300604,0.1469854893785919,0.0002601128077699,0.0002633621161583,1.0071741523934623,7.421026900100713e-05,7.64768148699968e-05
10,4.259143841024368,4.2374908784300604,4.280796803618676,0.1490158333702446,0.0002559971325232,0.0002536831495104,1.0074394306801602,7.260222786253934e-05,7.176373429507166e-05
11,4.3024656211838455,4.280796803618676,4.324134438749015,0.1500157396247935,0.0002725637995688,0.0002678229455143,1.0076846163823865,8.06368361998544e-05,7.596320504088538e-05
12,4.346120171151219,4.324134438749015,4.368105903553424,0.1505848781346784,0.0003077417252491,0.0002946892898478,1.007536856142788,8.478053351979042e-05,8.732034244696152e-05
13,4.390375577017829,4.368105903553424,4.4126452504822335,0.1498113672540875,0.0002920719008896,0.0002797812910896,1.007592385495364,8.285319792555867e-05,8.280671034111009e-05
14,4.4352614376641135,4.4126452504822335,4.4578776248459935,0.1493742675204,0.000286149310766,0.0002858495544693,1.007465702247976,7.957993328000512e-05,7.97822654010627e-05
15,4.480443102011094,4.4578776248459935,4.503008579176195,0.148583114455308,0.0002972404898067,0.0002958105049921,1.0074748509097793,8.103313051344152e-05,8.375701789797851e-05
16,4.525886725301929,4.503008579176195,4.548764871427663,0.1472647372589307,0.0003235278697225,0.0003219204000025,1.0072423544943827,8.928811802721981e-05,9.2910403710178e-05
17,4.571986558755087,4.548764871427663,4.595208246082513,0.1475196195069481,0.0003329317089043,0.000334368724415,1.0071390751093554,9.361954833853048e-05,9.287728471440992e-05
18,4.618707832533339,4.595208246082513,4.642207418984165,0.1461428660160948,0.0003573985839693,0.0003584271948501,1.0071658251329962,9.491422333263166e-05,9.324962081835864e-05
19,4.665684598139288,4.642207418984165,4.689161777294412,0.1463651265068882,0.0003763665651889,0.0003889904988077,1.007110407538492,0.0001010959603828,0.0001016925477754
20,4.712946642754753,4.689161777294412,4.736731508215094,0.1466194203504149,0.000354707475088,0.0003488096040966,1.0071163165298922,0.0001000249364595,9.874557492817182e-05
21,4.760822482102997,4.736731508215094,4.7849134559909,0.1463493596039431,0.0003781310059724,0.0003611732998108,1.007143879757836,0.0001010801016338,9.973565500076552e-05
22,4.809325147029957,4.7849134559909,4.833736838069016,0.1466611729086678,0.0003397267171773,0.000343752593296,1.007247709867425,9.601103000500544e-05,9.821266139686811e-05
23,4.8584186450619615,4.833736838069016,4.883100452054906,0.1463672156678238,0.0003981042511801,0.000388913039939,1.0070597781116668,0.0001083879661214,0.0001113743266054
24,4.9077701657443145,4.883100452054906,4.932439879433723,0.1469389731777467,0.0003659107506333,0.0003730249526669,1.0073532270104522,0.0001068782456521,0.0001069012261136
25,4.957409209558216,4.932439879433723,4.982378539682709,0.1463843877973255,0.0003461663575632,0.0003577087044729,1.007122226827442,9.967456923809516e-05,9.760029045446927e-05
26,5.00764543164508,4.982378539682709,5.032912323607451,0.1457134778706084,0.0004233725637307,0.0004032498135032,1.007029944348712,0.0001101697881926,0.0001106506308348
27,5.058474597529544,5.032912323607451,5.084036871451639,0.1462415059458669,0.0004167170731374,0.0004238775095506,1.0072314139368557,0.0001150593431595,0.000113349712344
28,5.127861279878553,5.084036871451639,5.171685688305466,0.1455714609909256,0.0003559512156144,0.0003517500795966,1.007254969733327,9.552930045275688e-05,9.709978621885718e-05
